Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-08-04,30.24,30.53,30.23,30.34,8660875.0,0.0,1.0,28.943732312917,29.221301174383,28.934160972866,29.039445713422,8660875.0
2016-08-05,30.51,30.89,30.5,30.8,13135880.0,0.0,1.0,29.202158494282,29.565869416204,29.192587154232,29.479727355749,13135880.0
2016-08-08,30.92,31.06,30.8,30.88,10470883.0,0.0,1.0,29.594583436355,29.728582197063,29.479727355749,29.556298076153,10470883.0
2016-08-09,30.91,31.25,30.83,31.07,13691127.0,0.0,1.0,29.585012096305,29.910437658024,29.5084413759,29.738153537114,13691127.0
2016-08-10,31.03,31.27,30.96,31.25,10833721.0,0.0,1.0,29.699868176912,29.929580338125,29.632868796558,29.910437658024,10833721.0
2016-08-11,31.43,31.79,31.36,31.75,13210802.0,0.0,1.0,30.082721778934,30.427290020755,30.01572239858,30.389004660553,13210802.0
2016-08-12,31.6,31.75,31.5499,31.57,9840876.0,0.0,1.0,30.245434559794,30.389004660553,30.197482146141,30.216720539642,9840876.0
2016-08-15,31.59,31.89,31.55,31.86,9345275.0,0.0,1.0,30.235863219743,30.52300342126,30.197577859541,30.494289401109,9345275.0
2016-08-16,31.81,31.85,31.61,31.71,9888486.0,0.0,1.0,30.446432700856,30.484718061058,30.255005899845,30.35071930035,9888486.0
2016-08-17,31.71,31.88,31.55,31.85,8392391.0,0.0,1.0,30.35071930035,30.51343208121,30.197577859541,30.484718061058,8392391.0
2016-08-18,31.8,31.86,31.48,31.55,14089870.0,0.0,1.0,30.436861360805,30.494289401109,30.130578479187,30.197577859541,14089870.0
2016-08-19,31.48,31.89,31.4,31.83,8809347.0,0.0,1.0,30.130578479187,30.52300342126,30.054007758783,30.465575380957,8809347.0
2016-08-22,31.79,31.95,31.7,31.87,8306765.0,0.0,1.0,30.427290020755,30.580431461564,30.3411479603,30.503860741159,8306765.0
2016-08-23,31.97,32.05,31.87,31.9,10960584.0,0.0,1.0,30.599574141665,30.67614486207,30.503860741159,30.532574761311,10960584.0
2016-08-24,31.84,32.09,31.76,31.78,8179481.0,0.0,1.0,30.475146721008,30.714430222272,30.398576000603,30.417718680704,8179481.0
2016-08-25,31.71,31.75,31.355,31.54,15925247.0,0.0,1.0,30.35071930035,30.389004660553,30.010936728555,30.188006519491,15925247.0
2016-08-26,31.67,31.8235,31.42,31.53,10436238.0,0.0,1.0,30.312433940148,30.459354009924,30.073150438884,30.17843517944,10436238.0
2016-08-29,31.78,31.96,31.57,31.81,7708220.0,0.0,1.0,30.417718680704,30.590002801614,30.216720539642,30.446432700856,7708220.0
2016-08-30,31.67,32.0,31.23,31.67,10748241.0,0.0,1.0,30.312433940148,30.628288161817,29.891294977923,30.312433940148,10748241.0
2016-08-31,31.67,31.94,31.65,31.92,9625559.0,0.0,1.0,30.312433940148,30.570860121513,30.293291260047,30.551717441412,9625559.0
2016-09-01,31.86,32.55,31.34,31.8,14898781.0,0.0,1.0,30.494289401109,31.154711864598,29.996579718479,30.436861360805,14898781.0
2016-09-02,31.88,32.2,31.85,32.16,10822877.0,0.0,1.0,30.51343208121,30.819714962828,30.484718061058,30.781429602626,10822877.0
2016-09-06,32.25,32.34,31.85,32.12,16766012.0,0.0,1.0,30.867571663081,30.953713723536,30.484718061058,30.743144242424,16766012.0
